,,,,,,,"CLIENTE:","=$CAPA.G27",,,," PROJETO:","=$CAPA.A31",,,"VERIFICADO:","ALEXANDRE MANDUCA",
"=A177+1","Z2P31TE2","-","FILTRO DE MANGAS - Z2P31","TEMPERATURA DE SAÍDA DO FILTRO DE MANGAS","PT-100","RESISTÊNCIA","0°C","500°C","ECIL","TSM10/PT1-S-60-316/316-27-S-1200/KNE-21/33/4BI",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-104","-",,1
"=A178+1","Z2P32M1TE1","571FN02.TE3~4","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","TEMPERATURA ENROLAMENTO DO ESTATOR DO MOTOR - FASE R","PT-100","RESISTÊNCIA","0°C","200°C","KELIANG","WZP2*2B-3*2000",2,"SINOMA","Z2RM3","-","-","-",,1
"=A179+1","Z2P32M1TE2","571FN02.TE5~6","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","TEMPERATURA ENROLAMENTO DO ESTATOR DO MOTOR - FASE S","PT-100","RESISTÊNCIA","0°C","200°C","KELIANG","WZP2*2B-3*2000",2,"SINOMA","Z2RM3","-","-","-",,1
"=A180+1","Z2P32M1TE3","571FN02.TE7~8","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","TEMPERATURA ENROLAMENTO DO ESTATOR DO MOTOR - FASE T","PT-100","RESISTÊNCIA","0°C","200°C","KELIANG","WZP2*2B-3*2000",2,"SINOMA","Z2RM3","-","-","-",,1
"=A181+1","Z2P32M1TE4","571FN02.TE9","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","TEMPERATURA MANCAL DO MOTOR DO VENTILADOR - L.A","PT-100","RESISTÊNCIA","0°C","100°C","KELIANG","WZP2*2B-3*2000",1,"SINOMA","Z2RM3","-","-","-",,1
"=A182+1","Z2P32M1TE5","571FN02.TEA","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","TEMPERATURA MANCAL DO MOTOR DO VENTILADOR - L.O.A","PT-100","RESISTÊNCIA","0°C","100°C","KELIANG","WZP2*2B-3*2000",1,"SINOMA","Z2RM3","-","-","-",,1
"=A183+1","Z2P32M1XT1","-","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","VIBRAÇÃO MANCAL 
DO MOTOR L.A - RADIAL","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-106","-",,1
"=A184+1","Z2P32M1XT2","571FN02.VZ3","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","VIBRAÇÃO MANCAL 
DO MOTOR L.A - AXIAL","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A185+1","Z2P32M1XT3","571FN02.VZ4","MOTOR DO VENTILADOR DO FILTRO DE MANGAS - Z2P32M1","VIBRAÇÃO MANCAL 
DO MOTOR L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A186+1","Z2P32TE1","571FN02.TE1","VENTILADOR DO FILTRO DE MANGAS - Z2P32","TEMPERATURA MANCAL DO VENTILADOR - L.A","PT-100","RESISTÊNCIA","0°C","100°C","Siemens","7MC5500",1,"SINOMA","Z2RM3","-","-","-",,1
"=A187+1","Z2P32TE2","571FN02.TE2","VENTILADOR DO FILTRO DE MANGAS - Z2P32","TEMPERATURA MANCAL DO VENTILADOR - L.O.A","PT-100","RESISTÊNCIA","0°C","100°C","Siemens","7MC5500",1,"SINOMA","Z2RM3","-","-","-",,1
"=A188+1","Z2P32XT1","571FN02VZ1","VENTILADOR DO FILTRO DE MANGAS - Z2P32","VIBRAÇÃO MANCAL
DO VENTILADOR - L.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A189+1","Z2P32XT2","-","VENTILADOR DO FILTRO DE MANGAS - Z2P32","VIBRAÇÃO MANCAL
DO VENTILADOR - L.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-106","-",,1
"=A190+1","Z2P32XT3","571FN02VZ2","VENTILADOR DO FILTRO DE MANGAS - Z2P32","VIBRAÇÃO MANCAL
DO VENTILADOR - L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A191+1","Z2P32XT4","-","VENTILADOR DO FILTRO DE MANGAS - Z2P32","VIBRAÇÃO MANCAL
DO VENTILADOR - L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-106","-",,1
"=A192+1","Z2P33SP","571DA02.ZZ1","DAMPER DE TIRAGEM DO FILTRO - Z2P33","SETPOINT","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"AUMA","SAR07.6/AC01.2/GFC100
440V/T≥2500N.M",1,"SINOMA","Z2RM3","-","-","Com o atuador",,1
"=A193+1","Z2P33TSH","-","DAMPER DE TIRAGEM DO FILTRO - Z2P33","FALHA","TERMOSTATO","120Vca","-","-",,,,,,,,,,
"=A194+1","Z2P33ZSH1","571DA02.ZS1","DAMPER DE TIRAGEM DO FILTRO - Z2P33","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A195+1","Z2P33ZSH2","-","DAMPER DE TIRAGEM DO FILTRO - Z2P33","POSIÇÃO ABERTA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-103","SENSOR INDUTIVO DE PROXIMIDADE A SER INSTALADO EXTERNAMENTE AO EQUIPAMENTO",,1
"=A196+1","Z2P33ZSL1","571DA02.ZS2","DAMPER DE TIRAGEM DO FILTRO - Z2P33","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-","AUMA","SAR07.6/AC01.2/GFC100
440V/T≥2500N.M",1,"SINOMA","Z2RM3","-","-","Com o atuador",,1
"=A197+1","Z2P33ZSL2","-","DAMPER DE TIRAGEM DO FILTRO - Z2P33","POSIÇÃO FECHADA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-103","-",,1
"=A198+1","Z2P33ZT","571DA02.ZZ1","DAMPER DE TIRAGEM DO FILTRO - Z2P33","POSIÇÃO","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"AUMA","SAR07.6/AC01.2/GFC100
440V/T≥2500N.M",1,"SINOMA","Z2RM3","-","-","Com o atuador",,1
"=A199+1","Z2P34AT","571.OZ1","CHAMINÉ - Z2P34","ANALISADOR DE PARTICULADOS","OPACÍMETRO
MEDIDOR DE PARTICULADOS
(ELETRODINAMICO)","4-20 mA","0 mg/m3","500 mg/m3","SICK","SB30",1,"SINOMA","Z2RM3","-","-","-",,5
"=A200+1","Z2P51LSH1","571BF01.LS1","FILTRO DE MANGAS - Z2P51","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTM21-AG242A",1,"SINOMA","Z2RM3","-","-","-",,1
"=A201+1","Z2P51LSH2","571BF01.LS1","FILTRO DE MANGAS - Z2P51","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTM21-AG242A",1,"SINOMA","Z2RM3","-","-","-",,1
"=A202+1","Z2P51LSH3","571BF01.LS2","FILTRO DE MANGAS - Z2P51","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTM21-AG242A",1,"SINOMA","Z2RM3","-","-","-",,1
"=A203+1","Z2P51LSH4","571BF01.LS2","FILTRO DE MANGAS - Z2P51","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTM21-AG242A",1,"SINOMA","Z2RM3","-","-","-",,1
"=A204+1","Z2P51LSH5","-","FILTRO DE MANGAS - Z2P51","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-107","-",,1
"=A205+1","Z2P51LSH6","-","FILTRO DE MANGAS - Z2P51","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-107","-",,1
"=A206+1","Z2P51PDT","571BF01.PZ3","FILTRO DE MANGAS - Z2P51","PRESSÃO DIFERENCIAL
FILTRO DE MANGAS","TRANSMISSOR DE PRESSÃO DIFERENCIAL","4-20 mA","0 bar","0,03 bar","SIEMENS","7MF0340-1DM01-5AF2",1,"SINOMA","Z2RM7","-","-","-",,1
"=A207+1","Z2P51PT1","571BF01.PZ1","FILTRO DE MANGAS - Z2P51","PRESSÃO DE ENTRADA DO FILTRO DE MANGAS","TRANSMISSOR DE PRESSÃO","4-20 mA","-0,07 bar","0 bar","SIEMENS","7MF0300-1JE01-5AF2",1,"SINOMA","Z2RM7","-","-","-",,1
"=A208+1","Z2P51PT2","571BF01.PZ2","FILTRO DE MANGAS - Z2P51","PRESSÃO DE SAÍDA DO FILTRO DE MANGAS","TRANSMISSOR DE PRESSÃO","4-20 mA","-0,05 bar","0 bar","SIEMENS","7MF0300-1JE01-5AF2",1,"SINOMA","Z2RM7","-","-","-",,1
"=A209+1","Z2P51PT3","571BF01.PZ4","FILTRO DE MANGAS - Z2P51","PRESSÃO DE AR LIMPEZA MANGAS DO FILTRO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","10 bar","E+H","PMP51B-AABACBH6AA3SCA1VNJA1+VD",1,"SINOMA","Z2RM7","-","-","-",,1
"=A210+1","Z2P51Q1","571BF01.UZ1","FILTRO DE MANGAS - Z2P51","PROGRAMADOR DO FILTRO DE MANGAS","PAINEL LOCAL","120Vca","-","-","SCHNEIDER","PLC  TM200CE24R",1,"SINOMA","Z2RM7","-","-","144x VÁLVULA SOLENOIDE",,1
"=A211+1","Z2P51TE1","571BF01.TE1","FILTRO DE MANGAS - Z2P51","TEMPERATURA DE ENTRADA DO FILTRO DE MANGAS","PT-100","RESISTÊNCIA","0°C","400°C","SIEMENS","7MC5516-1LA43-0BA2",1,"SINOMA","Z2RM7","-","-","-",,1
"=A212+1","Z2P51TE2","-","FILTRO DE MANGAS - Z2P51","TEMPERATURA DE SAÍDA DO FILTRO DE MANGAS","PT-100","RESISTÊNCIA","0°C","500°C","ECIL","TSM10/PT1-S-60-316/316-27-S-1200/KNE-21/33/4BI",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-104","-",,1
"=A213+1","Z2P52M1TE1","571FN01.TE3~4","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","TEMPERATURA ENROLAMENTO DO ESTATOR DO MOTOR - FASE R1","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",2,"SINOMA","Z2RM3","-","-","-",,1
"=A214+1","Z2P52M1TE2","571FN01.TE5~6","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","TEMPERATURA ENROLAMENTO DO ESTATOR DO MOTOR - FASE S1","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",2,"SINOMA","Z2RM3","-","-","-",,1
"=A215+1","Z2P52M1TE3","571FN01.TE7~8","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","TEMPERATURA ENROLAMENTO DO ESTATOR DO MOTOR - FASE T1","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",2,"SINOMA","Z2RM3","-","-","-",,1
"=A216+1","Z2P52M1TE4","571FN01.TE9","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","TEMPERATURA MANCAL DO MOTOR DO VENTILADOR - L.A","PT-100","RESISTÊNCIA","0°C","100°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z2RM3","-","-","-",,1
"=A217+1","Z2P52M1TE5","571FN01.TEA","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","TEMPERATURA MANCAL DO MOTOR DO VENTILADOR - L.O.A","PT-100","RESISTÊNCIA","0°C","100°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z2RM3","-","-","-",,1
"=A218+1","Z2P52M1XT1","-","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","VIBRAÇÃO MANCAL 
DO MOTOR L.A - RADIAL","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-106","-",,1
"=A219+1","Z2P52M1XT2","571FN01.VZ3","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","VIBRAÇÃO MANCAL 
DO MOTOR L.A - AXIAL","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A220+1","Z2P52M1XT3","571FN01.VZ4","MOTOR VENTILADOR DO FILTRO DE MANGAS - Z2P52M1","VIBRAÇÃO MANCAL 
DO MOTOR L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A221+1","Z2P52TE1","571FN01.TE1","VENTILADOR DO FILTRO DE MANGAS - Z2P52","TEMPERATURA MANCAL DO VENTILADOR - L.A","PT-100","RESISTÊNCIA","0°C","100°C","Siemens","7MC5500",1,"SINOMA","Z2RM3","-","-","-",,1
"=A222+1","Z2P52TE2","571FN01.TE2","VENTILADOR DO FILTRO DE MANGAS - Z2P52","TEMPERATURA MANCAL DO VENTILADOR - L.O.A","PT-100","RESISTÊNCIA","0°C","100°C","Siemens","7MC5500",1,"SINOMA","Z2RM3","-","-","-",,1
"=A223+1","Z2P52XT1","571FN01.VZ1","VENTILADOR DO FILTRO DE MANGAS - Z2P52","VIBRAÇÃO 1 MANCAL DO VENTILADOR - L.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A224+1","Z2P52XT2","571FN01.VZ2","VENTILADOR DO FILTRO DE MANGAS - Z2P52","VIBRAÇÃO 2 MANCAL DO VENTILADOR - L.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM3","-","-","-",,1
"=A225+1","Z2P52XT3","-","VENTILADOR DO FILTRO DE MANGAS - Z2P52","VIBRAÇÃO 1 MANCAL DO VENTILADOR - L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","PEGAR MODELO NO Z10","PEGAR MODELO NO Z10",1,"SINOMA","Z2RM3","-","-","-",,1
"=A226+1","Z2P52XT4","-","VENTILADOR DO FILTRO DE MANGAS - Z2P52","VIBRAÇÃO 2 MANCAL DO VENTILADOR - L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10 mm/s","PEGAR MODELO NO Z10","PEGAR MODELO NO Z10",1,"SINOMA","Z2RM3","-","-","-",,1
"=A227+1","Z2P53SP","571DA01.ZZ1","DAMPER DE TIRAGEM DO FILTRO - Z2P53","SETPOINT","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"AUMA","SAR07.6/AC01.2/GFC100
440V/T≥2500N.M",1,"SINOMA","Z2RM3","-","-","Com o atuador",,1
"=A228+1","Z2P53TSH","-","DAMPER DE TIRAGEM DO FILTRO - Z2P53","FALHA","TERMOSTATO","120Vca","-","-",,,,,,,,,,
"=A229+1","Z2P53ZSH1","571DA01.ZSO","DAMPER DE TIRAGEM DO FILTRO - Z2P53","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A230+1","Z2P53ZSH2","-","DAMPER DE TIRAGEM DO FILTRO - Z2P53","POSIÇÃO ABERTA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-103","Com o atuador",,1
"=A231+1","Z2P53ZSL1","571DA01.ZSC","DAMPER DE TIRAGEM DO FILTRO - Z2P53","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-","AUMA","SAR07.6/AC01.2/GFC100
440V/T≥2500N.M",1,"SINOMA","Z2RM3","-","-","Com o atuador",,1
"=A232+1","Z2P53ZSL2","-","DAMPER DE TIRAGEM DO FILTRO - Z2P53","POSIÇÃO FECHADA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM3","-","ED-I-Z2000-103","SENSOR INDUTIVO DE PROXIMIDADE A SER INSTALADO EXTERNAMENTE AO EQUIPAMENTO",,1
"=A233+1","Z2P53ZT","571DA01.ZZ1","DAMPER DE TIRAGEM DO FILTRO - Z2P53","POSIÇÃO","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"AUMA","SAR07.6/AC01.2/GFC100
440V/T≥2500N.M",1,"SINOMA","Z2RM3","-","-","Com o atuador",,1
"=A234+1","Z2SKFQ3","-","SEPARADOR - Z2S01","SISTEMA SKF","PAINEL DO SISTEMA SKF","4-20 mA","-","-","SKF","IMX-8",8,"VOTORANTIM","Z2CLP1","-","-","SINAIS COLETADOS VIA REDE
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO MOTOR PRINCIPAL;
- 3 UNIDADES TRANSMISSOR DE VIBRAÇÃO NO REDUTOR;
- 1 UNIDADE TACÔMETRO NO REDUTOR;
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO NOS MANCAIS SUPERIOR E INFERIOR",,1
"=A235+1","Z2S01M1TE1","571SR01.TE1~2","MOTOR DO SEPARADOR - Z2S01M1","TEMPERATURA ENROLAMENTO
FASE R","PT-100","RESISTÊNCIA","0°C","200°C","WIKA","PDCEPT03",2,"SINOMA","Z2RM7","-","-","-",,1
"=A236+1","Z2S01M1TE2","571SR01.TE3~4","MOTOR DO SEPARADOR - Z2S01M1","TEMPERATURA ENROLAMENTO
FASE S","PT-100","RESISTÊNCIA","0°C","200°C","WIKA","PDCEPT03",2,"SINOMA","Z2RM7","-","-","-",,1
"=A237+1","Z2S01M1TE3","571SR01.TE5~6","MOTOR DO SEPARADOR - Z2S01M1","TEMPERATURA ENROLAMENTO
FASE T","PT-100","RESISTÊNCIA","0°C","200°C","WIKA","PDCEPT03",2,"SINOMA","Z2RM7","-","-","-",,1
"=A238+1","Z2S01M1TE4","571SR01.TE7","MOTOR DO SEPARADOR - Z2S01M1","TEMPERATURA MANCAL DO MOTOR - L.A","PT-100","RESISTÊNCIA","0°C","100°C","WIKA","PDCEPT03",1,"SINOMA","Z2RM7","-","-","-",,1
"=A239+1","Z2S01M1TE5","571SR01.TE8","MOTOR DO SEPARADOR - Z2S01M1","TEMPERATURA MANCAL DO MOTOR - L.O.A","PT-100","RESISTÊNCIA","0°C","100°C","WIKA","PDCEPT03",1,"SINOMA","Z2RM7","-","-","-",,1
"=A240+1","Z2S01M1XT1","571SR01.VZ1","MOTOR DO SEPARADOR - Z2S01M1","VIBRAÇÃO MANCAL DO MOTOR - L.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10mm/s","IFM","VTV122",1,"SINOMA","Z2RM7","-","-","-",,1
"=A241+1","Z2S01M1XT2","571SR01.VZ2","MOTOR DO SEPARADOR - Z2S01M1","VIBRAÇÃO MANCAL DO MOTOR - L.O.A","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","10mm/s","IFM","VTV122",1,"SINOMA","Z2RM7","-","-","-",,1
"=A242+1","Z2S01PSL","-","SISTEMA DE ARREFECIMENTO DE AR COMPRIMIDO PARA MANCAL DO SEPARADOR - Z2S01","PRESSÃO BAIXA LINHA DE AR","PRESSOSTATO","120Vca","-","-","TELEMECANIQUE","XMLB010A2S11",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-122","-",,4
"=A243+1","Z2S01SE","-","SEPARADOR - Z2S01","VELOCIDADE DO SEPARADOR","SENSOR INDUTIVO NAMUR","4-20 mA","0Hz","60Hz","SENSE","PS2-12GX50-N-L + KMV-228/120Vac",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-112","-",,1
"=A244+1","Z2S01TE1","571SR01.TE9","SEPARADOR - Z2S01","TEMPERATURA DO MANCAL SUPERIOR","PT-100","RESISTÊNCIA","0°C","100°C","JUMO",902050,1,"SINOMA","Z2RM7","-","-","-",,1
"=A245+1","Z2S01TE2","571SR01.TEA","SEPARADOR - Z2S01","TEMPERATURA DO MANCAL INFERIOR","PT-100","RESISTÊNCIA","0°C","100°C","JUMO",902050,1,"SINOMA","Z2RM7","-","-","-",,1
"=A246+1","Z2S01XT8","-","SEPARADOR - Z2S01","VIBRAÇÃO DO MANCAL SUPERIOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-106","-",,1
"=A247+1","Z2S01XT9","-","SEPARADOR - Z2S01","VIBRAÇÃO DO MANCAL INFERIOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0mm/s","25mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-106","-",,1
"=A248+1","Z2S01XV","-","SISTEMA DE ARREFECIMENTO DE AR COMPRIMIDO PARA MANCAL DO SEPARADOR - Z2S01","COMANDO ABRE / FECHA","VÁLVULA SOLENOIDE","120Vca","-","-","PENDENTE VOTORANTIM","CONFORME COMPRADO PELA MECÂNICA",1,"VOTORANTIM","Z2RM7","-","-","FORNECIMENTO PELA VOTORANTIM (MECÂNICA)",,1
"=A249+1","Z2S01ZSH","-","SISTEMA DE ARREFECIMENTO DE AR COMPRIMIDO PARA MANCAL DO SEPARADOR - Z2S01","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-","PENDENTE VOTORANTIM","PENDENTE VOTORANTIM",1,"VOTORANTIM","Z2RM7","-","-","FORNECIMENTO PELA VOTORANTIM (MECÂNICA)",,4
"=A250+1","Z2S01ZSL","-","SISTEMA DE ARREFECIMENTO DE AR COMPRIMIDO PARA MANCAL DO SEPARADOR - Z2S01","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-","PENDENTE VOTORANTIM","PENDENTE VOTORANTIM",1,"VOTORANTIM","Z2RM7","-","-","FORNECIMENTO PELA VOTORANTIM (MECÂNICA)",,4
"=A251+1","Z2S02SP","571SR01DA01.ZZ1","DAMPER DE AR FRIO DO
SEPARADOR - Z2S02","SETPOINT","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"yangzhou Chaoneng","CNQ60-200",1,"SINOMA","Z2RM7","-","-","Com o damper",,1
"=A252+1","Z2S02TSH","571SR01DA01","DAMPER DE AR FRIO DO
SEPARADOR - Z2S02","FALHA","TERMOSTATO","120Vca","-","-",,,,,,,,,,
"=A253+1","Z2S02ZSH","571SR01DA01.ZSO","DAMPER DE AR FRIO DO
SEPARADOR - Z2S02","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A254+1","Z2S02ZSL","571SR01DA01.ZSC","DAMPER DE AR FRIO DO
SEPARADOR - Z2S02","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A255+1","Z2S02ZT","571SR01DA01","DAMPER DE AR FRIO DO
SEPARADOR - Z2S02","POSIÇÃO","ATUADOR ELÉTRICO","4-20 mA",0%,100%,,,,,,,,,,
"=A256+1","Z2S03SP","571SR01DA02.ZZ1","DAMPER DE AR FRIO DO
SEPARADOR - Z2S03","SETPOINT","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"yangzhou Chaoneng","CNQ60-200",1,"SINOMA","Z2RM7","-","-","Com o damper",,1
"=A257+1","Z2S03TSH","571SR01DA02","DAMPER DE AR FRIO DO
SEPARADOR - Z2S03","FALHA","TERMOSTATO","120Vca","-","-",,,,,,,,,,
"=A258+1","Z2S03ZSH","571SR01DA02.ZSO","DAMPER DE AR FRIO DO
SEPARADOR - Z2S03","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A259+1","Z2S03ZSL","571SR01DA02.ZSC","DAMPER DE AR FRIO DO
SEPARADOR - Z2S03","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A260+1","Z2S03ZT","571SR01DA02","DAMPER DE AR FRIO DO
SEPARADOR - Z2S03","POSIÇÃO","ATUADOR ELÉTRICO","4-20 mA",0%,100%,,,,,,,,,,
"=A261+1","Z2S04SP","571SR01DA03.ZZ1","DAMPER DE AR FRIO DO
SEPARADOR - Z2S04","SETPOINT","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"yangzhou Chaoneng","CNQ60-200",1,"SINOMA","Z2RM7","-","-","Com o damper",,1
"=A262+1","Z2S04TSH","571SR01DA03","DAMPER DE AR FRIO DO
SEPARADOR - Z2S04","FALHA","TERMOSTATO","120Vca","-","-",,,,,,,,,,
"=A263+1","Z2S04ZSH","571SR01DA03.ZSO","DAMPER DE AR FRIO DO
SEPARADOR - Z2S04","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A264+1","Z2S04ZSL","571SR01DA03.ZSC","DAMPER DE AR FRIO DO
SEPARADOR - Z2S04","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A265+1","Z2S04ZT","571SR01DA03","DAMPER DE AR FRIO DO
SEPARADOR - Z2S04","POSIÇÃO","ATUADOR ELÉTRICO","4-20 mA",0%,100%,,,,,,,,,,
"=A266+1","Z2S05SP","571SR01DA04.ZZ1","DAMPER DE AR FRIO DO
SEPARADOR - Z2S05","SETPOINT","ATUADOR ELÉTRICO","4-20 mA",0%,100%,"yangzhou Chaoneng","CNQ60-200",1,"SINOMA","Z2RM7","-","-","Com o damper",,1
"=A267+1","Z2S05TSH","571SR01DA04","DAMPER DE AR FRIO DO
SEPARADOR - Z2S05","FALHA","TERMOSTATO","120Vca","-","-",,,,,,,,,,
"=A268+1","Z2S05ZSH","571SR01DA04.ZSO","DAMPER DE AR FRIO DO
SEPARADOR - Z2S05","POSIÇÃO ABERTA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A269+1","Z2S05ZSL","571SR01DA04.ZSC","DAMPER DE AR FRIO DO
SEPARADOR - Z2S05","POSIÇÃO FECHADA","FIM DE CURSO","120Vca","-","-",,,,,,,,,,
"=A270+1","Z2S05ZT","571SR01DA04","DAMPER DE AR FRIO DO
SEPARADOR - Z2S05","POSIÇÃO","ATUADOR ELÉTRICO","4-20 mA",0%,100%,,,,,,,,,,
"=A271+1","Z2S06LSL","571LQ04.LS1","UNIDADE DE LUBRIFICAÇÃO DO SEPARADOR - Z2S06","NÍVEL BAIXO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL TIPO BOIA MAGNÉTICA","120Vca","-","-","Schneider","XCJ110C",1,"SINOMA","Z2RM7","-","-","Um sensor",,2
